Engine e2e CLI verification suite — v2 fixture migration + race safety
Branch: feat/integrations-monorepo
Generated: 2026-07-26T15:38:14Z

Build:   go build -o /tmp/pacto-mono ./cmd/pacto
Command: PACTO_BIN=/tmp/pacto-mono go test -tags e2e -race -count=1 -v ./tests/e2e/...

Summary: 266 subtests PASS, 0 FAIL, 0 DATA RACE
Stability: 3 additional fresh -count=1 -race runs, all exit 0 / 0 data races.
(registry HTTP access-log lines filtered from the transcript below for readability)

========================= TEST TRANSCRIPT =========================
--- PASS: TestMCPCommandHelp (0.01s)
--- PASS: TestMCPCommandExtraArgs (0.01s)
--- PASS: TestReadinessDoc (2.19s)
--- PASS: TestPolicyMissingSchemaFile (3.06s)
--- PASS: TestMultiConfigValidation (4.59s)
--- PASS: TestPushRejectsLocalConfigRef (4.60s)
--- PASS: TestMCPSchema (0.01s)
--- PASS: TestMCPEdit (0.02s)
--- PASS: TestMCPCheck (0.02s)
--- PASS: TestMCPCreateMissingName (0.00s)
--- PASS: TestMCPCreate (0.02s)
--- PASS: TestMCPCreateDryRun (0.00s)
--- PASS: TestMCPCapabilityInvokesLiveEndpoint (0.03s)
--- PASS: TestPushPolicyProviderWithExplicitPolicies (18.85s)
--- PASS: TestPushSucceedsWithRemotePolicyCompliance (19.59s)
--- PASS: TestPushRejectsRemotePolicyViolation (21.99s)
--- PASS: TestPushPolicyProviderWithCustomSchemaPath (22.39s)
--- PASS: TestPolicyMixedLocalAndRef (22.29s)
--- PASS: TestPolicyOCIRefViolated (21.61s)
--- PASS: TestLockEmbeddedInPushedBundle (22.75s)
--- PASS: TestPushPolicyProviderWithMultiplePolicies (29.16s)
--- PASS: TestReadinessOCIRoundtrip (31.03s)
--- PASS: TestPushPullRoundtrip (34.18s)
--- PASS: TestUserStoryBreakingChangeDetection (30.13s)
--- PASS: TestLockAbsentIsPassthrough (23.68s)
--- PASS: TestLockCapturesReferenceJumps (19.25s)
--- PASS: TestPolicyOCIRefSuccess (10.46s)
--- PASS: TestLockDependencyShippingOwnLockIsIgnored (28.20s)
--- PASS: TestLockCapturesTransitiveClosure (17.27s)
--- PASS: TestUserStoryMultiServiceDependencyGraph (22.27s)
--- PASS: TestLockMixedDependencyRefForms (31.11s)
--- PASS: TestLockStaleWhenDependencyRemoved (34.24s)
--- PASS: TestPactoignoreCannotDropPactoYAML (5.08s)
--- PASS: TestLockStaleWhenDependencyAdded (34.84s)
--- PASS: TestUserStoryVersionUpgradeImpact (29.99s)
--- PASS: TestPushRejectsLocalPolicyRef (6.26s)
--- PASS: TestConfigRef (3.98s)
--- PASS: TestPolicyEmptyRejected (3.33s)
--- PASS: TestPolicyRefUnresolvable (4.81s)
--- PASS: TestLockPinsFiveDependenciesPlusTransitive (38.99s)
--- PASS: TestPolicyRefCycleViaOCI (4.46s)
--- PASS: TestPolicyLocalSchema (3.56s)
--- PASS: TestPolicyRefSharedAcrossSiblings (6.87s)
--- PASS: TestLockVerifyHardFailsOnTransitiveDrift (37.34s)
--- PASS: TestPactoignoreAnchoredDirPatternDoesNotMatchSubdir (5.91s)
--- PASS: TestOverrideExplain (1.96s)
    --- PASS: TestOverrideExplain/set_overrides_reflected_in_explain (1.96s)
--- PASS: TestPactoignoreIgnoredNestedDirHidesReferencedFile (5.52s)
--- PASS: TestPactoignoreExcludesFromPack (2.26s)
--- PASS: TestDiffConfigValuesGranularity (1.98s)
--- PASS: TestPactoignoreIgnoringReferencedFileFails (3.89s)
--- PASS: TestPactoignoreSurvivesPushPull (5.68s)
--- PASS: TestPactoignoreIgnoredDirHidesReferencedFile (3.87s)
--- PASS: TestDiffPolicyChanges (1.56s)
--- PASS: TestDiffReadinessGranularity (0.57s)
--- PASS: TestReadinessPolicyEnforcement (0.00s)
    --- PASS: TestReadinessPolicyEnforcement/contract_satisfying_readiness_policy_is_valid (0.87s)
